NAME OF THE INSTRUMENT,INDUSTRY,ISIN CODE,QUANTITY,MKT VAL(Rs. Lacs),% to NAV,Scheme Code,Scheme Name
BHARTI HEXACOM LTD,Telecom - Services,INE343G01021,576129,11250.07,2.26,102328,Tata Mid Cap Fund Regular Plan- Growth Option
UNO MINDA LTD.,Auto Components,INE405E01023,1001126,11055.43,2.22,102328,Tata Mid Cap Fund Regular Plan- Growth Option
J K CEMENT LTD.,Cement & Cement Products,INE823G01014,175000,10762.5,2.16,102328,Tata Mid Cap Fund Regular Plan- Growth Option
MAX HEALTHCARE INSTITUTE LTD.,Healthcare Services,INE027H01010,816000,10412.16,2.09,102328,Tata Mid Cap Fund Regular Plan- Growth Option
PI INDUSTRIES LTD.,Fertilizers & Agrochemicals,INE603J01030,250000,10261.75,2.06,102328,Tata Mid Cap Fund Regular Plan- Growth Option
MPHASIS LTD.,IT - Software,INE356A01018,353648,10062.7,2.02,102328,Tata Mid Cap Fund Regular Plan- Growth Option
UPL LTD.,Fertilizers & Agrochemicals,INE628A01036,1500000,9918.75,1.99,102328,Tata Mid Cap Fund Regular Plan- Growth Option
FEDERAL BANK LTD.,Banks,INE171A01029,4500000,9590.4,1.92,102328,Tata Mid Cap Fund Regular Plan- Growth Option
OBEROI REALTY LTD.,Realty,INE093I01010,500000,9528,1.91,102328,Tata Mid Cap Fund Regular Plan- Growth Option
INDIAN BANK,Banks,INE562A01011,1400000,9008.3,1.81,102328,Tata Mid Cap Fund Regular Plan- Growth Option
JSW INFRASTRUCTURE LTD,Transport Infrastructure,INE880J01026,2800000,8766.8,1.76,102328,Tata Mid Cap Fund Regular Plan- Growth Option
L&T FINANCE LTD.,Finance,INE498L01015,4000000,8240.4,1.65,102328,Tata Mid Cap Fund Regular Plan- Growth Option
KAJARIA CERAMICS LTD.,Consumer Durables,INE217B01036,750000,8107.5,1.63,102328,Tata Mid Cap Fund Regular Plan- Growth Option
HINDUSTAN PETROLEUM CORPORATION LTD.,Petroleum Products,INE094A01015,1800000,7884.9,1.58,102328,Tata Mid Cap Fund Regular Plan- Growth Option
INDRAPRASTHA GAS LTD.,Gas,INE203G01027,3590000,7821.53,1.57,102328,Tata Mid Cap Fund Regular Plan- Growth Option
ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LTD.,Auto Components,INE342J01019,56551,7573.31,1.52,102328,Tata Mid Cap Fund Regular Plan- Growth Option
THE RAMCO CEMENTS LTD.,Cement & Cement Products,INE331A01037,700000,7526.4,1.51,102328,Tata Mid Cap Fund Regular Plan- Growth Option
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Transport Infrastructure,INE742F01042,500000,7251,1.45,102328,Tata Mid Cap Fund Regular Plan- Growth Option
PERSISTENT SYSTEMS LTD.,IT - Software,INE262H01021,120000,7249.8,1.45,102328,Tata Mid Cap Fund Regular Plan- Growth Option
APOLLO HOSPITALS ENTERPRISE LTD.,Healthcare Services,INE437A01024,99583,7211.8,1.45,102328,Tata Mid Cap Fund Regular Plan- Growth Option
BHARAT FORGE LTD.,Auto Components,INE465A01025,550000,7194.55,1.44,102328,Tata Mid Cap Fund Regular Plan- Growth Option
GLENMARK PHARMACEUTICALS LTD.,Pharmaceuticals & Biotechnology,INE935A01035,400000,7015.2,1.41,102328,Tata Mid Cap Fund Regular Plan- Growth Option
BHARAT ELECTRONICS LTD.,Aerospace and Defense,INE263A01024,1600000,6744,1.35,102328,Tata Mid Cap Fund Regular Plan- Growth Option
PATANJALI FOODS LTD.,Agricultural Food & other Products,INE619A01035,400000,6602.4,1.32,102328,Tata Mid Cap Fund Regular Plan- Growth Option
MUTHOOT FINANCE LTD.,Finance,INE414G01012,250000,6559.75,1.32,102328,Tata Mid Cap Fund Regular Plan- Growth Option
THERMAX LTD.,Electrical Equipment,INE152A01029,191737,6556.06,1.32,102328,Tata Mid Cap Fund Regular Plan- Growth Option
INDUS TOWERS LTD.,Telecom - Services,INE121J01017,1537298,6473.56,1.3,102328,Tata Mid Cap Fund Regular Plan- Growth Option
AIA ENGINEERING LTD.,Industrial Products,INE212H01026,190000,6288.62,1.26,102328,Tata Mid Cap Fund Regular Plan- Growth Option
NAVIN FLUORINE INTERNATIONAL LTD.,Chemicals & Petrochemicals,INE048G01026,130000,6266.13,1.26,102328,Tata Mid Cap Fund Regular Plan- Growth Option
BALKRISHNA INDUSTRIES LTD.,Auto Components,INE787D01026,251842,6158.29,1.24,102328,Tata Mid Cap Fund Regular Plan- Growth Option
TATA CHEMICALS LTD.,Chemicals & Petrochemicals,INE092A01019,615450,5764.61,1.16,102328,Tata Mid Cap Fund Regular Plan- Growth Option
BIOCON LTD.,Pharmaceuticals & Biotechnology,INE376G01013,1567612,5576,1.12,102328,Tata Mid Cap Fund Regular Plan- Growth Option
K.P.R. MILL LTD.,Textiles & Apparels,INE930H01031,479100,5466.53,1.1,102328,Tata Mid Cap Fund Regular Plan- Growth Option
POWER FINANCE CORPORATION LTD.,Finance,INE134E01011,1250000,5342.5,1.07,102328,Tata Mid Cap Fund Regular Plan- Growth Option
TEAMLEASE SERVICES LTD.,Commercial Services & Supplies,INE985S01024,262341,5328.67,1.07,102328,Tata Mid Cap Fund Regular Plan- Growth Option
ASTRAL LTD. (ERSTWHILE ASTRAL POLY TECHNIK LTD.),Industrial Products,INE006I01046,350000,5273.8,1.06,102328,Tata Mid Cap Fund Regular Plan- Growth Option
SKF INDIA LTD.,Industrial Products,INE640A01023,105000,5056.59,1.01,102328,Tata Mid Cap Fund Regular Plan- Growth Option
ASHOK LEYLAND LTD.,"Agricultural, Commercial & Construction Vehicles",INE208A01029,2000000,5018.2,1.01,102328,Tata Mid Cap Fund Regular Plan- Growth Option
G R INFRAPROJECTS LTD.,Construction,INE201P01022,380400,5015.57,1.01,102328,Tata Mid Cap Fund Regular Plan- Growth Option
GRANULES INDIA LTD.,Pharmaceuticals & Biotechnology,INE101D01020,1000767,4956.8,0.99,102328,Tata Mid Cap Fund Regular Plan- Growth Option
PAGE INDUSTRIES LTD.,Textiles & Apparels,INE761H01022,10000,4941,0.99,102328,Tata Mid Cap Fund Regular Plan- Growth Option
BOSCH LTD.,Auto Components,INE323A01026,14790,4833.37,0.97,102328,Tata Mid Cap Fund Regular Plan- Growth Option
JINDAL STEEL & POWER LTD.,Ferrous Metals,INE749A01030,500000,4708.5,0.94,102328,Tata Mid Cap Fund Regular Plan- Growth Option
THE PHOENIX MILLS LTD.,Realty,INE211B01039,300000,4685.1,0.94,102328,Tata Mid Cap Fund Regular Plan- Growth Option
VOLTAS LTD.,Consumer Durables,INE226A01021,350000,4599.35,0.92,102328,Tata Mid Cap Fund Regular Plan- Growth Option
SONATA SOFTWARE LTD.,IT - Software,INE269A01021,1100000,4510.55,0.9,102328,Tata Mid Cap Fund Regular Plan- Growth Option
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LTD.,Leisure Services,INE335Y01020,550000,4298.25,0.86,102328,Tata Mid Cap Fund Regular Plan- Growth Option
BHARAT HEAVY ELECTRICALS LTD.,Electrical Equipment,INE257A01026,1500000,3994.5,0.8,102328,Tata Mid Cap Fund Regular Plan- Growth Option
ACC LTD.,Cement & Cement Products,INE012A01025,207834,3984.59,0.8,102328,Tata Mid Cap Fund Regular Plan- Growth Option
CARBORUNDUM UNIVERSAL LTD.,Industrial Products,INE120A01034,400000,3861.8,0.77,102328,Tata Mid Cap Fund Regular Plan- Growth Option
BRIGADE ENTERPRISES LTD.,Realty,INE791I01019,326813,3626.97,0.73,102328,Tata Mid Cap Fund Regular Plan- Growth Option
SOBHA LTD.,Realty,INE671H01015,244873,3589.35,0.72,102328,Tata Mid Cap Fund Regular Plan- Growth Option
TORRENT POWER LTD.,Power,INE813H01021,200000,2935.2,0.59,102328,Tata Mid Cap Fund Regular Plan- Growth Option
3M INDIA LTD.,Diversified,INE470A01017,10000,2850,0.57,102328,Tata Mid Cap Fund Regular Plan- Growth Option
LINDE INDIA LTD.,Chemicals & Petrochemicals,INE473A01011,40000,2662.2,0.53,102328,Tata Mid Cap Fund Regular Plan- Growth Option
MAHINDRA LOGISTICS LTD.,Transport Services,INE766P01016,750000,2522.63,0.51,102328,Tata Mid Cap Fund Regular Plan- Growth Option
SUDARSHAN CHEMICAL INDUSTRIES LTD.,Chemicals & Petrochemicals,INE659A01023,4691125,57860.34,5.18,145208,Tata Small Cap Fund-Regular Plan-Growth
KIRLOSKAR PNEUMATIC COMPANY LTD.,Industrial Products,INE811A01020,3090522,43798.88,3.92,145208,Tata Small Cap Fund-Regular Plan-Growth
IDFC FIRST BANK LTD.,Banks,INE092T01019,59000000,42975.6,3.85,145208,Tata Small Cap Fund-Regular Plan-Growth
BASF INDIA LTD.,Chemicals & Petrochemicals,INE373A01013,763051,39392.51,3.53,145208,Tata Small Cap Fund-Regular Plan-Growth
USHA MARTIN LTD.,Industrial Products,INE228A01035,10531501,38608.48,3.46,145208,Tata Small Cap Fund-Regular Plan-Growth
GODREJ INDUSTRIES LTD,Diversified,INE233A01035,2777719,34615.93,3.1,145208,Tata Small Cap Fund-Regular Plan-Growth
WOCKHARDT LTD.,Pharmaceuticals & Biotechnology,INE049B01025,1929375,33069.49,2.96,145208,Tata Small Cap Fund-Regular Plan-Growth
TIME TECHNOPLAST LTD.,Industrial Products,INE508G01029,7101529,31530.79,2.82,145208,Tata Small Cap Fund-Regular Plan-Growth
C.E. INFO SYSTEMS LTD.,IT - Software,INE0BV301023,1777369,31276.36,2.8,145208,Tata Small Cap Fund-Regular Plan-Growth
WONDERLA HOLIDAYS LTD.,Leisure Services,INE066O01014,4300000,27408.2,2.46,145208,Tata Small Cap Fund-Regular Plan-Growth
ELANTAS BECK INDIA LTD.,Chemicals & Petrochemicals,INE280B01018,209256,26585.35,2.38,145208,Tata Small Cap Fund-Regular Plan-Growth
SAMHI HOTELS LTD,Leisure Services,INE08U801020,11907432,26480.94,2.37,145208,Tata Small Cap Fund-Regular Plan-Growth
SUNDARAM CLAYTON LTD.,Auto Components,INE0Q3R01026,1148911,23798.54,2.13,145208,Tata Small Cap Fund-Regular Plan-Growth
KIRLOSKAR FERROUS INDUSTRIES LTD.,Industrial Products,INE884B01025,3830253,22215.47,1.99,145208,Tata Small Cap Fund-Regular Plan-Growth
GREENPLY INDUSTRIES LTD.,Consumer Durables,INE461C01038,7000830,21958.1,1.97,145208,Tata Small Cap Fund-Regular Plan-Growth
REDINGTON (INDIA) LTD.,Commercial Services & Supplies,INE891D01026,6466218,21037.84,1.88,145208,Tata Small Cap Fund-Regular Plan-Growth
GRAPHITE INDIA LTD.,Industrial Products,INE371A01025,3701754,20959.33,1.88,145208,Tata Small Cap Fund-Regular Plan-Growth
ANANT RAJ LTD.,Realty,INE242C01024,3639258,20614.58,1.85,145208,Tata Small Cap Fund-Regular Plan-Growth
CARBORUNDUM UNIVERSAL LTD.,Industrial Products,INE120A01034,1989281,19205.51,1.72,145208,Tata Small Cap Fund-Regular Plan-Growth
HEALTHCARE GLOBAL ENTERPRISES LTD.,Healthcare Services,INE075I01017,3347532,18431.51,1.65,145208,Tata Small Cap Fund-Regular Plan-Growth
KRSNAA DIAGNOSTICS LTD.,Healthcare Services,INE08LI01020,2496000,17601.79,1.58,145208,Tata Small Cap Fund-Regular Plan-Growth
GUJARAT PIPAVAV PORT LTD.,Transport Infrastructure,INE517F01014,10859605,17540.43,1.57,145208,Tata Small Cap Fund-Regular Plan-Growth
ASK AUTOMOTIVE LTD.,Auto Components,INE491J01022,3158073,16879.9,1.51,145208,Tata Small Cap Fund-Regular Plan-Growth
KSB LTD.,Industrial Products,INE999A01023,2055590,16815.75,1.51,145208,Tata Small Cap Fund-Regular Plan-Growth
SHOPPERS STOP LTD.,Retailing,INE498B01024,3342304,16763.33,1.5,145208,Tata Small Cap Fund-Regular Plan-Growth
KEYSTONE REALTORS LTD.,Realty,INE263M01029,2734324,16746.37,1.5,145208,Tata Small Cap Fund-Regular Plan-Growth
DCB BANK LTD.,Banks,INE503A01015,11340118,16465.85,1.47,145208,Tata Small Cap Fund-Regular Plan-Growth
RADICO KHAITAN LTD.,Beverages,INE944F01028,625061,16359.1,1.47,145208,Tata Small Cap Fund-Regular Plan-Growth
SUNDROP BRANDS LTD.,Agricultural Food & other Products,INE209A01019,1782421,15553.41,1.39,145208,Tata Small Cap Fund-Regular Plan-Growth
HONDA INDIA POWER PRODUCTS LTD.,Industrial Manufacturing,INE634A01018,521006,15365.51,1.38,145208,Tata Small Cap Fund-Regular Plan-Growth
PCBL CHEMICAL LTD.,Chemicals & Petrochemicals,INE602A01031,3600000,15080.4,1.35,145208,Tata Small Cap Fund-Regular Plan-Growth
QUESS CORP LTD.,Commercial Services & Supplies,INE615P01015,4875848,14727.5,1.32,145208,Tata Small Cap Fund-Regular Plan-Growth
NIPPON LIFE INDIA ASSET MANAGEMENT LTD.,Capital Markets,INE298J01013,1820266,14563.04,1.3,145208,Tata Small Cap Fund-Regular Plan-Growth
CIE AUTOMOTIVE INDIA LTD.,Auto Components,INE536H01010,3232701,14324.1,1.28,145208,Tata Small Cap Fund-Regular Plan-Growth
GOKALDAS EXPORTS LTD.,Textiles & Apparels,INE887G01027,1503967,13540.97,1.21,145208,Tata Small Cap Fund-Regular Plan-Growth
COHANCE LIFESCIENCES LTD.,Pharmaceuticals & Biotechnology,INE03QK01018,1329000,12863.39,1.15,145208,Tata Small Cap Fund-Regular Plan-Growth
HIKAL LTD.,Pharmaceuticals & Biotechnology,INE475B01022,3300000,11843.7,1.06,145208,Tata Small Cap Fund-Regular Plan-Growth
CELLO WORLD LTD,Consumer Durables,INE0LMW01024,1692675,10329.55,0.93,145208,Tata Small Cap Fund-Regular Plan-Growth
AKZO NOBEL INDIA LTD.,Consumer Durables,INE133A01011,287484,9818.44,0.88,145208,Tata Small Cap Fund-Regular Plan-Growth
DIGITIDE SOLUTIONS LTD.,IT - Services,INE0U4701011,4804600,9423.26,0.84,145208,Tata Small Cap Fund-Regular Plan-Growth
CARTRADE TECH LTD.,Retailing,INE290S01011,528313,8985.02,0.8,145208,Tata Small Cap Fund-Regular Plan-Growth
VIP INDUSTRIES LTD.,Consumer Durables,INE054A01027,2117326,8917.12,0.8,145208,Tata Small Cap Fund-Regular Plan-Growth
TRANSPORT CORPORATION OF INDIA LTD.,Transport Services,INE688A01022,782332,8841.92,0.79,145208,Tata Small Cap Fund-Regular Plan-Growth
FINOLEX CABLES LTD.,Industrial Products,INE235A01022,900700,8823.26,0.79,145208,Tata Small Cap Fund-Regular Plan-Growth
